PLAYER,TEAM,GP,MIN/G,RAM,C-RAM,PSP,3PE,FGS,BMS,DSI,FG%,PTS/G,REB/G,AST/G,STL/G,BLK/G
Nathaniel Williams,Team CP3 (16U),5,19,373,4.7,39,66,73,41,67,33.3%,5.6,1.8,3.8,0.6,0.0
Landon Clark,Maine United (16U),4,25,373,4.7,43,70,58,48,65,30.0%,7.5,2.3,2.0,0.3,0.3
Jayden Fort,Team Durant (16U),4,17,369,4.7,51,0,31,50,50,46.2%,8.3,2.0,0.3,0.0,0.3
Oluwatumininu Oluokun,Houston Hoops (16U),5,20,368,4.7,38,0,54,54,55,47.1%,4.6,3.2,1.4,0.2,0.0
Mason Klabo,Howard Pulley/Team Tyus (16U),2,23,368,4.7,50,79,60,40,24,35.3%,9.0,1.5,2.5,0.0,0.0
Cy Merrett,Proskills (16U),5,10,366,4.7,49,0,36,50,44,52.9%,5.6,2.2,0.2,0.0,0.0
AmariYunn Blythe,Indy Heat (16U),4,10,365,4.7,44,0,11,48,60,58.3%,4.0,2.0,0.0,0.3,0.3
Chace Watley,Howard Pulley/Team Tyus (16U),4,18,364,4.6,42,49,57,42,65,42.1%,6.0,1.5,1.8,0.5,0.0
Jayden Miles,Indy Heat (16U),4,16,364,4.6,49,45,0,57,64,44.0%,7.5,3.3,0.0,0.0,1.0
Dawson Townsend,Maine United (16U),4,8,362,4.6,34,62,43,48,29,50.0%,2.0,1.8,0.5,0.0,0.0
Dakarion Bryant,Alabama Fusion (16U),5,10,359,4.6,46,68,29,41,49,43.5%,5.2,1.2,0.2,0.0,0.4
Akila Proctor,Boo Williams (16U),3,6,356,4.5,27,61,0,0,0,50.0%,1.0,0.0,0.0,0.0,0.0
Jack Lutz,Phenom University (16U),4,10,356,4.5,32,66,0,48,38,50.0%,2.0,1.3,0.0,0.0,0.0
Parker Jefferson,Houston Hoops (16U),3,21,352,4.5,43,0,50,59,69,36.8%,8.0,5.7,1.3,1.0,0.3
Jed-Ethan Nansha,Drive Nation (16U),5,11,350,4.5,42,0,46,56,54,52.9%,4.2,2.4,0.6,0.0,0.0
Zakariyya Dwight,The Skill Factory (16U),3,8,349,4.5,33,0,47,55,74,60.0%,2.0,2.0,0.7,0.0,0.7
Jacob Davis,City Rocks (16U),4,16,349,4.5,38,0,44,60,48,47.1%,4.5,5.0,0.8,0.0,0.3
Jai Hayes,Brad Beal Elite (16U),4,25,345,4.4,43,47,50,47,53,37.5%,7.3,2.3,1.3,0.3,0.0
Jahrel Vigo,Team Final (16U),4,16,343,4.4,35,56,53,51,81,41.2%,4.0,3.3,1.0,1.0,0.0
Tristian Davis,NH Lightning (16U),4,7,343,4.4,39,0,37,38,68,62.5%,2.5,0.5,0.3,0.5,0.0
Elijah Clinton,Indy Heat (16U),4,16,343,4.4,43,0,48,51,73,38.2%,7.3,2.8,1.0,0.3,0.8
Dywane Chess,Team Final (16U),4,9,337,4.3,39,54,47,50,63,42.9%,3.8,1.8,0.8,0.3,0.0
Tyler Kropp,All Ohio (16U),4,15,336,4.3,40,0,32,52,67,45.0%,5.0,3.0,0.3,0.3,0.5
Patrick Johnson,Alabama Fusion (16U),5,17,336,4.3,34,0,37,59,81,41.7%,4.0,4.4,0.4,0.6,0.4
Jared Butler,Expressions (16U),5,17,336,4.3,34,66,41,45,55,40.0%,3.4,1.8,0.6,0.2,0.2
Bruce Wingate,City Rocks (16U),4,18,334,4.3,44,55,43,39,65,37.0%,6.8,1.3,0.8,0.8,0.0
Reginald Webster,Drive Nation (16U),5,11,334,4.3,37,67,54,45,58,42.9%,3.8,1.2,1.0,0.0,0.4
Lance Piper,NH Lightning (16U),4,10,333,4.3,39,76,11,36,61,35.3%,4.3,1.3,0.0,0.3,0.0
Kellen Pickett,Indy Heat (16U),3,16,332,4.3,38,65,39,55,57,37.5%,5.0,3.0,0.3,0.0,0.0
Olin Chamberlain,NJ Scholars (16U),4,7,329,4.2,42,0,74,0,61,54.5%,3.5,0.0,1.3,0.3,0.0
